record_id,event_name,event_date,duration_text,attendees,revenue,was_complete
R001,Annual Checkup,2026-01-15,45 minutes,3,"$245.50",complete
R002,Vaccination,01/22/2026,30 mins,2,"890",COMPLETE
R003,Surgery Consult,2026-02-08,1 hour 15 min,4,"$1,450.75",Complete
R004,Dental Cleaning,February 14 2026,90 min,5,"675.25",incomplete
R005,Emergency Visit,2026-03-01,2 hours,6,"$3,200.00",In Progress
R006,Follow-up,3/15/2026,20 minutes,2,"$125",completed
R007,X-Ray,2026-04-02,15 min,3,"$450.50",pending
R008,Spay/Neuter,4/18/2026,2 hours 30 min,4,"$895.75",cancelled
R009,Wellness Exam,2026-05-12,40 mins,3,"$345.00",incomplete
R010,Boarding Check-in,May 25 2026,10 min,2,"$85",complete
